movie_id,tmdb_id,imdb_id,title,genres,overview,keyword_names,top_cast,director,release_year,vote_average,vote_count,has_content_features,metadata_soup
16,524.0,112641,Casino (1995),Crime|Drama,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,"['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci']",Martin Scorsese,1995.0,7.8,1307.0,True,Crime Drama poker drugabuse 1970s overdose illegalprostitution RobertDeNiro SharonStone JoePesci MartinScorsese
17,4584.0,114388,Sense and Sensibility (1995),Drama|Romance,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']","['Kate Winslet', 'Emma Thompson', 'Hugh Grant']",Ang Lee,1995.0,7.2,352.0,True,Drama Romance bowling basedonnovel servant countrylife janeausten inheritance militaryofficer perioddrama rainstorm horseandcarriage decorum KateWinslet EmmaThompson HughGrant AngLee
18,5.0,113101,Four Rooms (1995),Comedy,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']","['Tim Roth', 'Antonio Banderas', 'Jennifer Beals']",Allison Anders,1995.0,6.5,530.0,True,Comedy hotel newyear'seve witch bet hotelroom sperm losangeles hoodlum womandirector episodefilm TimRoth AntonioBanderas JenniferBeals AllisonAnders
19,9273.0,112281,Ace Ventura: When Nature Calls (1995),Comedy,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","['africa', 'indigenous', 'human animal relationship', 'bat']","['Jim Carrey', 'Ian McNeice', 'Simon Callow']",Steve Oedekerk,1995.0,6.1,1099.0,True,Comedy africa indigenous humananimalrelationship bat JimCarrey IanMcNeice SimonCallow SteveOedekerk
20,11517.0,113845,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","['brother brother relationship', 'subway', 'new york city', 'new york subway', 'train robbery']","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']",Joseph Ruben,1995.0,5.4,222.0,True,Action Comedy Crime Drama Thriller brotherbrotherrelationship subway newyorkcity newyorksubway trainrobbery WesleySnipes WoodyHarrelson JenniferLopez JosephRuben
21,8012.0,113161,Get Shorty (1995),Comedy|Crime|Thriller,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']","['John Travolta', 'Gene Hackman', 'Rene Russo']",Barry Sonnenfeld,1995.0,6.4,302.0,True,Comedy Crime Thriller gambling miami basedonnovel job murder travel mafia money debt mobster business hollywood gangster crime violence drug producer con JohnTravolta GeneHackman ReneRusso BarrySonnenfeld
22,1710.0,112722,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"['police brutality', 'psychology', 'police operation', 'police protection', 'serial killer', 'psychologist', 'cowardliness']","['Sigourney Weaver', 'Holly Hunter', 'Will Patton']",Jon Amiel,1995.0,6.4,194.0,True,Crime Drama Horror Mystery Thriller policebrutality psychology policeoperation policeprotection serialkiller psychologist cowardliness SigourneyWeaver HollyHunter WillPatton JonAmiel
23,9691.0,112401,Assassins (1995),Action|Crime|Thriller,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean', 'detroit michigan']","['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore']",Richard Donner,1995.0,6.0,387.0,True,Action Crime Thriller competition assassination cia bank cat mexicanstandoff seattle hitman missionofmurder hiddencamera rivalry rescue shootout policechase sniperrifle silencer doublecross caribbean detroitmichigan SylvesterStallone AntonioBanderas JulianneMoore RichardDonner
24,12665.0,114168,Powder (1995),Drama|Sci-Fi,,[],[],,1995.0,,,False,Drama SciFi
25,451.0,113627,Leaving Las Vegas (1995),Drama|Romance,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse', 'attempted suicide']","['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']",Mike Figgis,1995.0,7.1,360.0,True,Drama Romance individual prostitute alcohol casino loveatfirstsight lovesickness filmproducer screenwriter hotelroom dyinganddeath rageandhate unsociability alcoholism losangeles alcoholabuse attemptedsuicide NicolasCage ElisabethShue JulianSands MikeFiggis
26,16420.0,114057,Othello (1995),Drama,,[],[],,1995.0,,,False,Drama
27,9263.0,114011,Now and Then (1995),Children|Drama,,[],[],,1995.0,,,False,Children Drama
28,17015.0,114117,Persuasion (1995),Drama|Romance,,[],[],,1995.0,,,False,Drama Romance
29,902.0,112682,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,,[],[],,1995.0,,,False,Adventure Drama Fantasy Mystery SciFi
30,37557.0,115012,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,,[],[],,1995.0,,,False,Crime Drama
31,9909.0,112792,Dangerous Minds (1995),Drama,,[],[],,1995.0,,,False,Drama
32,63.0,114746,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,,[],[],,1995.0,,,False,Mystery SciFi Thriller
34,9598.0,112431,Babe (1995),Children|Drama,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.","['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talking animal', 'separation', 'german shepherd', 'grandson', 'talking pig']","['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann']",Chris Noonan,1995.0,6.0,733.0,True,Children Drama sheep pig affection piglet heroism talkinganimal separation germanshepherd grandson talkingpig ChristineCavanaugh MiriamMargolyes DannyMann ChrisNoonan
36,687.0,112818,Dead Man Walking (1995),Crime|Drama,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,"['prison', 'rape', 'socially deprived family', 'penalty', 'death penalty', 'despair', 'death row', 'begnadigung', 'therapist', 'self-discovery', 'prison cell', 'court case', 'death sentence', 'doomed man', 'sentence', 'lethal injection', 'forgiveness', 'charity', 'mercy petition', 'rage and hate', 'unsociability', 'right and justice', 'court', 'electric chair', 'cowardliness']","['Susan Sarandon', 'Sean Penn', 'Robert Prosky']",Tim Robbins,1995.0,7.3,337.0,True,Crime Drama prison rape sociallydeprivedfamily penalty deathpenalty despair deathrow begnadigung therapist self-discovery prisoncell courtcase deathsentence doomedman sentence lethalinjection forgiveness charity mercypetition rageandhate unsociability rightandjustice court electricchair cowardliness SusanSarandon SeanPenn RobertProsky TimRobbins
38,33689.0,113442,It Takes Two (1995),Children|Comedy,,[],[],,1995.0,,,False,Children Comedy
39,9603.0,112697,Clueless (1995),Comedy|Romance,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","['puberty', 'high school', 'make a match', 'spoiled child', 'gay interest', 'conflict', 'woman director']","['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']",Amy Heckerling,1995.0,6.9,803.0,True,Comedy Romance puberty highschool makeamatch spoiledchild gayinterest conflict womandirector AliciaSilverstone StaceyDash BrittanyMurphy AmyHeckerling
40,34615.0,112749,"Cry, the Beloved Country (1995)",Drama,,[],[],,1995.0,,,False,Drama
41,31174.0,114279,Richard III (1995),Drama|War,Shakespeare's Play transplanted into a 1930s setting.,"['england', 'shakespeare', 'kidnapping', 'murder', 'king']","['Ian McKellen', 'Annette Bening', 'Jim Broadbent']",Richard Loncraine,1995.0,6.9,49.0,True,Drama War england shakespeare kidnapping murder king IanMcKellen AnnetteBening JimBroadbent RichardLoncraine
42,11443.0,112819,Dead Presidents (1995),Action|Crime|Drama,,[],[],,1995.0,,,False,Action Crime Drama
43,35196.0,114272,Restoration (1995),Drama,,[],[],,1995.0,,,False,Drama
44,9312.0,113855,Mortal Kombat (1995),Action|Adventure|Fantasy,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game', 'hand to hand combat']","['Christopher Lambert', 'Robin Shou', 'Linden Ashby']",Paul W.S. Anderson,1995.0,5.4,442.0,True,Action Adventure Fantasy martialarts monster island gore sorcerer tournament violence basedonvideogame handtohandcombat ChristopherLambert RobinShou LindenAshby PaulW.S.Anderson
45,577.0,114681,To Die For (1995),Comedy|Drama|Thriller,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.","['adultery', 'winter', 'obsession', 'television', 'new hampshire', 'narcissistic personality disorder']","['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix']",Gus Van Sant,1995.0,6.7,175.0,True,Comedy Drama Thriller adultery winter obsession television newhampshire narcissisticpersonalitydisorder NicoleKidman MattDillon JoaquinPhoenix GusVanSant
46,11861.0,113347,How to Make an American Quilt (1995),Drama|Romance,,[],[],,1995.0,,,False,Drama Romance
47,807.0,114369,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","['self-fulfilling prophecy', 'detective', 's.w.a.t.', 'drug dealer', 'evisceration', 'lust and impulsiveness', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police', 'serial killer']","['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow']",David Fincher,1995.0,8.1,5765.0,True,Mystery Thriller self-fulfillingprophecy detective s.w.a.t. drugdealer evisceration lustandimpulsiveness rageandhate prideandvanity immoderateness insomnia investigation pension police serialkiller BradPitt MorganFreeman GwynethPaltrow DavidFincher
48,10530.0,114148,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.","['culture clash', 'settler', 'forbidden love', 'colony', 'musical', 'gold rush', 'princess', 'romance', 'native american', 'animation', 'virginia', 'star crossed lovers', 'reference to pizarro', 'jamestown virginia', 'pug dog', 'cross cultural relationship', 'musket', 'animate tree', 'indian chief', 'based on folk tale', '17th century', 'shamanism', 'songs', 'indians vs. settlers', 'animal sidekick', 'powhatan', 'land claim']","['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers']",Mike Gabriel,1995.0,6.7,1457.0,True,Animation Children Drama Musical Romance cultureclash settler forbiddenlove colony musical goldrush princess romance nativeamerican animation virginia starcrossedlovers referencetopizarro jamestownvirginia pugdog crossculturalrelationship musket animatetree indianchief basedonfolktale 17thcentury shamanism songs indiansvs.settlers animalsidekick powhatan landclaim IreneBedard MelGibson DavidOgdenStiers MikeGabriel
49,8391.0,114916,When Night Is Falling (1995),Drama|Romance,,[],[],,1995.0,,,False,Drama Romance
50,629.0,114814,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","['law', 'relatives', 'theft', 'criminal', 'criminal mastermind', 'hungarian', 'sibling']","['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri']",Bryan Singer,1995.0,8.1,3254.0,True,Crime Mystery Thriller law relatives theft criminal criminalmastermind hungarian sibling StephenBaldwin GabrielByrne ChazzPalminteri BryanSinger
52,11448.0,113819,Mighty Aphrodite (1995),Comedy|Drama|Romance,,[],[],,1995.0,,,False,Comedy Drama Romance
53,49133.0,110299,Lamerica (1994),Adventure|Drama,,[],[],,1994.0,,,False,Adventure Drama
54,26441.0,112499,"Big Green, The (1995)",Children|Comedy,,[],[],,1995.0,,,False,Children Comedy
55,97406.0,113158,Georgia (1995),Drama,,[],[],,1995.0,,,False,Drama
57,9089.0,113321,Home for the Holidays (1995),Drama,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.","['baltimore', 'thanksgiving', 'family clan', 'family conflict', 'generations conflict', 'woman director']","['Holly Hunter', 'Robert Downey Jr.', 'Anne Bancroft']",Jodie Foster,1995.0,6.3,39.0,True,Drama baltimore thanksgiving familyclan familyconflict generationsconflict womandirector HollyHunter RobertDowneyJr. AnneBancroft JodieFoster
58,11010.0,110877,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,,[],[],,1994.0,,,False,Comedy Drama Romance
60,11359.0,113419,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,"['cupboard', 'games', 'puppet', 'parallel world', 'toy comes to life']","['Hal Scardino', 'Litefoot', 'Lindsay Crouse']",Frank Oz,1995.0,5.9,134.0,True,Adventure Children Fantasy cupboard games puppet parallelworld toycomestolife HalScardino Litefoot LindsayCrouse FrankOz
61,17182.0,116260,Eye for an Eye (1996),Drama|Thriller,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.","['rape', 'gun', 'self-defense', 'grieving parents']","['Sally Field', 'Kiefer Sutherland', 'Ed Harris']",John Schlesinger,1996.0,5.8,63.0,True,Drama Thriller rape gun self-defense grievingparents SallyField KieferSutherland EdHarris JohnSchlesinger
62,2054.0,113862,Mr. Holland's Opus (1995),Drama,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","['composer', 'mentor', 'deaf-mute', 'musical', 'apprentice', 'private life', 'music', 'disabled']","['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas']",Stephen Herek,1995.0,6.9,113.0,True,Drama composer mentor deaf-mute musical apprentice privatelife music disabled RichardDreyfuss GlenneHeadly JayThomas StephenHerek
63,10607.0,116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,,[],[],,1996.0,,,False,Comedy Crime
64,19760.0,118002,Two if by Sea (1996),Comedy|Romance,,[],[],,1996.0,,,False,Comedy Romance
65,9536.0,115683,Bio-Dome (1996),Comedy,,[],[],,1996.0,,,False,Comedy
66,11525.0,116839,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,,[],[],,1996.0,,,False,Action SciFi Thriller
68,4482.0,113149,French Twist (Gazon maudit) (1995),Comedy|Romance,,[],[],,1995.0,,,False,Comedy Romance
69,10634.0,113118,Friday (1995),Comedy,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.","['rap music', 'parents kids relationship', 'rapper', 'job']","['Ice Cube', 'Chris Tucker', 'Nia Long']",F. Gary Gray,1995.0,7.0,503.0,True,Comedy rapmusic parentskidsrelationship rapper job IceCube ChrisTucker NiaLong F.GaryGray
70,755.0,116367,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.","['dancing', 'brother brother relationship', 'sexual obsession', 'showdown', 'sheriff', 'eroticism', 'nudity', 'bank robber', 'vampire', 'holy water', 'siege', 'stripper', 'priest', 'explosion', 'extreme violence', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'blood spurting', 'convenience store', 'female vampire', 'mexican american border', 'nightclub entertainer', 'boa constrictor']","['George Clooney', 'Quentin Tarantino', 'Harvey Keitel']",Robert Rodriguez,1996.0,6.9,1603.0,True,Action Comedy Horror Thriller dancing brotherbrotherrelationship sexualobsession showdown sheriff eroticism nudity bankrobber vampire holywater siege stripper priest explosion extremeviolence bankrobbery preacher hostagesituation crucifix recreationalvehicle bloodspurting conveniencestore femalevampire mexicanamericanborder nightclubentertainer boaconstrictor GeorgeClooney QuentinTarantino HarveyKeitel RobertRodriguez
71,11859.0,113010,Fair Game (1995),Action,,[],[],,1995.0,,,False,Action
72,28387.0,113537,Kicking and Screaming (1995),Comedy|Drama,,[],[],,1995.0,,,False,Comedy Drama
73,48750.0,113828,"Misérables, Les (1995)",Drama|War,,[],[],,1995.0,,,False,Drama War
74,20927.0,115644,Bed of Roses (1996),Drama|Romance,,[],[],,1996.0,,,False,Drama Romance
75,36929.0,115676,Big Bully (1996),Comedy|Drama,,[],[],,1996.0,,,False,Comedy Drama
76,9102.0,114367,Screamers (1995),Action|Sci-Fi|Thriller,,[],[],,1995.0,,,False,Action SciFi Thriller
77,124626.0,113973,Nico Icon (1995),Documentary,,[],[],,1995.0,,,False,Documentary
78,27526.0,112744,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,,[],[],,1995.0,,,False,Action Crime Drama Thriller
79,9623.0,116731,"Juror, The (1996)",Drama|Thriller,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.","['jurors', 'blackmail', 'court case', 'son', 'trial', 'courtroom']","['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt']",Brian Gibson,1996.0,5.5,89.0,True,Drama Thriller jurors blackmail courtcase son trial courtroom DemiMoore AlecBaldwin JosephGordon-Levitt BrianGibson
80,46785.0,112445,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,,[],[],,1995.0,,,False,Children Drama
81,400.0,114660,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,"['father son relationship', 'bounty hunter', 'boat', 'way of life', 'coffin', 'denver', 'godmother', 'paranoia', 'hitman', 'friendship', 'psychopath', 'revenge', 'murder', 'independent film', 'mafia', 'diner', 'blood', 'gangster', 'violence', 'illegal prostitution', 'extramarital affair']","['Andy García', 'Christopher Lloyd', 'William Forsythe']",Gary Fleder,1995.0,6.7,85.0,True,Crime Drama Romance fathersonrelationship bountyhunter boat wayoflife coffin denver godmother paranoia hitman friendship psychopath revenge murder independentfilm mafia diner blood gangster violence illegalprostitution extramaritalaffair AndyGarcía ChristopherLloyd WilliamForsythe GaryFleder
82,880.0,112379,Antonia's Line (Antonia) (1995),Comedy|Drama,,[],[],,1995.0,,,False,Comedy Drama
83,146599.0,114039,Once Upon a Time... When We Were Colored (1995),Drama|Romance,,[],[],,1995.0,,,False,Drama Romance
85,8447.0,112365,Angels and Insects (1995),Drama|Romance,,[],[],,1995.0,,,False,Drama Romance
86,10534.0,118158,White Squall (1996),Action|Adventure|Drama,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,"['sailing trip', 'diary', 'sailing', 'survival', 'coming of age', 'teenage boy', 'discipline', 'squall', 'sail', 'ship captain', 'caribbean', 'male bonding', 'seasickness', 'storm at sea', '1960s']","['Jeff Bridges', 'Caroline Goodall', 'John Savage']",Ridley Scott,1996.0,6.3,86.0,True,Action Adventure Drama sailingtrip diary sailing survival comingofage teenageboy discipline squall sail shipcaptain caribbean malebonding seasickness stormatsea 1960s JeffBridges CarolineGoodall JohnSavage RidleyScott
87,17414.0,116151,Dunston Checks In (1996),Children|Comedy,,[],[],,1996.0,,,False,Children Comedy
88,13997.0,115697,Black Sheep (1996),Comedy,,[],[],,1996.0,,,False,Comedy
89,2086.0,113972,Nick of Time (1995),Action|Thriller,,[],[],,1995.0,,,False,Action Thriller
92,9095.0,117002,Mary Reilly (1996),Drama|Horror|Thriller,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.","['servant', 'monster', 'laboratory', 'jekyll and hyde', 'housemaid', '19th century']","['Julia Roberts', 'John Malkovich', 'George Cole']",Stephen Frears,1996.0,5.7,74.0,True,Drama Horror Thriller servant monster laboratory jekyllandhyde housemaid 19thcentury JuliaRoberts JohnMalkovich GeorgeCole StephenFrears
93,12158.0,114825,Vampire in Brooklyn (1995),Comedy|Horror|Romance,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.","['vampire', 'half vampire']","['Eddie Murphy', 'Angela Bassett', 'Allen Payne']",Wes Craven,1995.0,4.5,111.0,True,Comedy Horror Romance vampire halfvampire EddieMurphy AngelaBassett AllenPayne WesCraven
